dag,aantal
1/1/2008,231
2/1/2008,334
3/1/2008,409
4/1/2008,429
5/1/2008,278
6/1/2008,237
7/1/2008,398
8/1/2008,441
9/1/2008,380
10/1/2008,415
11/1/2008,386
12/1/2008,229
12/2/2008,221
12/3/2008,413
12/4/2008,427
12/5/2008,426
12/6/2008,395
12/7/2008,461
12/8/2008,266
12/9/2008,213
12/10/2008,367
12/11/2008,417
12/12/2008,361
12/13/2008,392
12/14/2008,390
12/15/2008,225
12/16/2008,251
12/17/2008,400
12/18/2008,412
12/19/2008,408
12/20/2008,410
1/2/2008,421
2/2/2008,201
3/2/2008,225
4/2/2008,354
5/2/2008,417
6/2/2008,337
7/2/2008,364
8/2/2008,380
9/2/2008,212
10/2/2008,214
11/2/2008,403
12/2/2008,414
12/3/2008,397
12/4/2008,383
12/5/2008,374
12/6/2008,221
12/7/2008,226
12/8/2008,408
12/9/2008,412
12/10/2008,397
12/11/2008,398
12/12/2008,385
12/13/2008,231
12/14/2008,187
12/15/2008,390
12/16/2008,454
12/17/2008,354
12/18/2008,431
12/19/2008,342
12/20/2008,211
12/21/2008,216
12/22/2008,422
12/23/2008,414
12/24/2008,381
12/25/2008,411
12/26/2008,373
12/27/2008,220
12/28/2008,239
12/29/2008,394
12/30/2008,407
12/31/2008,391
1/1/2009,377
1/2/2009,373
1/3/2009,236
1/4/2009,222
1/5/2009,361
1/6/2009,445
1/7/2009,386
1/8/2009,451
1/9/2009,441
1/10/2009,232
1/11/2009,183
1/12/2009,236
1/13/2009,341
1/14/2009,384
1/15/2009,401
1/16/2009,371
1/17/2009,221
1/18/2009,217
1/19/2009,348
1/20/2009,351
1/21/2009,351
1/22/2009,392
1/23/2009,381
1/24/2009,222
1/25/2009,241
1/26/2009,409
1/27/2009,452
1/28/2009,394
1/29/2009,465
1/30/2009,410
1/31/2009,259
2/1/2009,234
2/2/2009,384
2/3/2009,413
2/4/2009,417
2/5/2009,428
2/6/2009,432
2/7/2009,224
2/8/2009,246
2/9/2009,389
2/10/2009,439
2/11/2009,400
2/12/2009,407
2/13/2009,413
2/14/2009,245
2/15/2009,239
2/16/2009,412
2/17/2009,467
2/18/2009,416
2/19/2009,243
2/20/2009,279
2/21/2009,252
2/22/2009,239
2/23/2009,431
2/24/2009,405
2/25/2009,405
2/26/2009,433
2/27/2009,433
2/28/2009,226
3/1/2009,232
3/2/2009,237
3/3/2009,427
3/4/2009,430
3/5/2009,446
3/6/2009,415
3/7/2009,241
3/8/2009,227
