dag,aantal
1/1/2017,203
1/2/2017,388
1/3/2017,382
1/4/2017,379
1/5/2017,340
1/6/2017,383
1/7/2017,203
1/8/2017,204
1/9/2017,363
1/10/2017,339
1/11/2017,357
1/12/2017,394
1/13/2017,440
1/14/2017,213
1/15/2017,201
1/16/2017,218
1/17/2017,330
1/18/2017,371
1/19/2017,363
1/20/2017,331
1/21/2017,227
1/22/2017,224
1/23/2017,357
1/24/2017,359
1/25/2017,340
1/26/2017,328
1/27/2017,374
1/28/2017,235
1/29/2017,225
1/30/2017,354
1/31/2017,422
2/1/2017,330
2/2/2017,400
2/3/2017,379
2/4/2017,218
2/5/2017,233
2/6/2017,369
2/7/2017,362
2/8/2017,365
2/9/2017,378
2/10/2017,376
2/11/2017,204
2/12/2017,223
2/13/2017,374
2/14/2017,407
2/15/2017,353
2/16/2017,355
2/17/2017,383
2/18/2017,217
2/19/2017,227
2/20/2017,396
2/21/2017,441
2/22/2017,426
2/23/2017,214
2/24/2017,310
2/25/2017,233
2/26/2017,241
2/27/2017,394
2/28/2017,447
3/1/2017,396
3/2/2017,415
3/3/2017,380
3/4/2017,217
3/5/2017,233
3/6/2017,254
3/7/2017,401
3/8/2017,383
3/9/2017,408
3/10/2017,374
3/11/2017,223
3/12/2017,234
3/13/2017,370
3/14/2017,409
3/15/2017,393
3/16/2017,376
3/17/2017,368
3/18/2017,211
3/19/2017,200
3/20/2017,370
3/21/2017,330
3/22/2017,365
3/23/2017,356
3/24/2017,371
3/25/2017,212
3/26/2017,242
3/27/2017,370
3/28/2017,384
3/29/2017,349
3/30/2017,373
3/31/2017,410
4/1/2017,227
4/2/2017,225
4/3/2017,357
4/4/2017,404
4/5/2017,394
4/6/2017,403
4/7/2017,379
4/8/2017,224
4/9/2017,241
4/10/2017,395
4/11/2017,417
4/12/2017,395
4/13/2017,402
4/14/2017,380
4/15/2017,231
4/16/2017,249
4/17/2017,407
4/18/2017,423
4/19/2017,384
4/20/2017,406
4/21/2017,408
4/22/2017,243
4/23/2017,243
4/24/2017,394
4/25/2017,416
4/26/2017,384
4/27/2017,400
4/28/2017,415
4/29/2017,233
4/30/2017,218
5/1/2017,373
5/2/2017,411
5/3/2017,388
5/4/2017,438
5/5/2017,430
5/6/2017,239
5/7/2017,262
5/8/2017,415
5/9/2017,429
5/10/2017,463
5/11/2017,254
5/12/2017,373
5/13/2017,246
5/14/2017,224
5/15/2017,382
5/16/2017,410
5/17/2017,404
5/18/2017,388
5/19/2017,394
5/20/2017,227
5/21/2017,233
5/22/2017,371
5/23/2017,406
5/24/2017,389
5/25/2017,396
5/26/2017,381
5/27/2017,227
5/28/2017,233
5/29/2017,378
5/30/2017,347
5/31/2017,405
6/1/2017,391
6/2/2017,386
6/3/2017,214
6/4/2017,221
6/5/2017,224
6/6/2017,381
6/7/2017,392
6/8/2017,380
6/9/2017,410
6/10/2017,238
6/11/2017,216
6/12/2017,375
6/13/2017,422
6/14/2017,368
6/15/2017,362
6/16/2017,410
6/17/2017,213
6/18/2017,255
6/19/2017,351
6/20/2017,379
6/21/2017,360
6/22/2017,337
6/23/2017,401
6/24/2017,230
6/25/2017,199
6/26/2017,373
6/27/2017,395
6/28/2017,385
6/29/2017,397
6/30/2017,437
7/1/2017,231
7/2/2017,219
7/3/2017,392
7/4/2017,422
7/5/2017,390
7/6/2017,374
7/7/2017,431
7/8/2017,246
7/9/2017,230
7/10/2017,378
7/11/2017,412
7/12/2017,393
7/13/2017,374
7/14/2017,390
7/15/2017,239
7/16/2017,221
7/17/2017,383
7/18/2017,383
7/19/2017,383
7/20/2017,395
7/21/2017,391
7/22/2017,245
7/23/2017,246
7/24/2017,377
7/25/2017,400
7/26/2017,389
7/27/2017,383
7/28/2017,384
7/29/2017,253
7/30/2017,189
7/31/2017,367
8/1/2017,396
8/2/2017,351
8/3/2017,363
8/4/2017,414
8/5/2017,233
8/6/2017,209
8/7/2017,340
8/8/2017,404
8/9/2017,346
8/10/2017,369
8/11/2017,405
8/12/2017,228
8/13/2017,188
8/14/2017,365
8/15/2017,405
8/16/2017,361
8/17/2017,409
8/18/2017,405
8/19/2017,212
8/20/2017,214
8/21/2017,340
8/22/2017,229
8/23/2017,357
8/24/2017,349
8/25/2017,333
8/26/2017,236
8/27/2017,220
8/28/2017,400
8/29/2017,375
8/30/2017,382
8/31/2017,365
9/1/2017,220
9/2/2017,208
9/3/2017,224
9/4/2017,370
9/5/2017,406
9/6/2017,336
9/7/2017,363
9/8/2017,365
9/9/2017,227
9/10/2017,215
9/11/2017,356
9/12/2017,359
9/13/2017,347
9/14/2017,336
9/15/2017,357
9/16/2017,213
9/17/2017,241
9/18/2017,345
9/19/2017,338
9/20/2017,324
9/21/2017,386
9/22/2017,350
9/23/2017,200
9/24/2017,203
9/25/2017,338
9/26/2017,359
9/27/2017,365
9/28/2017,362
9/29/2017,380
9/30/2017,194
10/1/2017,191
10/2/2017,377
10/3/2017,376
10/4/2017,343
10/5/2017,345
10/6/2017,387
10/7/2017,219
10/8/2017,226
10/9/2017,434
10/10/2017,424
10/11/2017,402
10/12/2017,395
10/13/2017,383
10/14/2017,213
10/15/2017,217
10/16/2017,310
10/17/2017,385
10/18/2017,336
10/19/2017,306
10/20/2017,338
10/21/2017,220
