Product Groep,"Jaar","Gigawattuur"
Elektriciteit,"1997",143658
Elektriciteit,"1998",147920
Elektriciteit,"1999",149016
Elektriciteit,"2000",155084
Elektriciteit,"2001",156284
Elektriciteit,"2002",156894
Elektriciteit,"2003",159464
Elektriciteit,"2004",161218
Elektriciteit,"2005",160404
Elektriciteit,"2006",165212
Elektriciteit,"2007",165796
Elektriciteit,"2008",165372
Elektriciteit,"2009",154510
Elektriciteit,"2010",166622
Elektriciteit,"2011",161184
Elektriciteit,"2012",163426
Elektriciteit,"2013",166058
Elektriciteit,"2014",162306
Elektriciteit,"2015",163424
Elektriciteit,"2016",163707
